repeat,Method,K,Candidate_Pool_Size,Positive_Targets,Hits,Precision,Recall,Enrichment_Factor,Random_Expected_Hits,Random_Precision
0,Logistic regression,10,25242,1184,1,0.1,0.0008445945945945946,2.1319256756756757,0.4690595040012677,0.046905950400126774
0,Logistic regression,20,25242,1184,5,0.25,0.004222972972972973,5.3298141891891895,0.9381190080025354,0.046905950400126774
0,Logistic regression,50,25242,1184,17,0.34,0.014358108108108109,7.248547297297297,2.345297520006339,0.046905950400126774
0,Logistic regression,100,25242,1184,35,0.35,0.02956081081081081,7.461739864864864,4.690595040012678,0.046905950400126774
0,Logistic regression,200,25242,1184,60,0.3,0.05067567567567568,6.395777027027027,9.381190080025355,0.046905950400126774
0,Logistic regression,500,25242,1184,96,0.192,0.08108108108108109,4.093297297297298,23.45297520006339,0.046905950400126774
0,Network-degree logistic,10,25242,1184,8,0.8,0.006756756756756757,17.055405405405406,0.4690595040012677,0.046905950400126774
0,Network-degree logistic,20,25242,1184,17,0.85,0.014358108108108109,18.121368243243243,0.9381190080025354,0.046905950400126774
0,Network-degree logistic,50,25242,1184,36,0.72,0.030405405405405407,15.349864864864864,2.345297520006339,0.046905950400126774
0,Network-degree logistic,100,25242,1184,65,0.65,0.05489864864864865,13.857516891891892,4.690595040012678,0.046905950400126774
0,Network-degree logistic,200,25242,1184,114,0.57,0.09628378378378379,12.15197635135135,9.381190080025355,0.046905950400126774
0,Network-degree logistic,500,25242,1184,234,0.468,0.19763513513513514,9.977412162162162,23.45297520006339,0.046905950400126774
0,PPI-GAT + nnPU,10,25242,1184,0,0.0,0.0,0.0,0.4690595040012677,0.046905950400126774
0,PPI-GAT + nnPU,20,25242,1184,1,0.05,0.0008445945945945946,1.0659628378378379,0.9381190080025354,0.046905950400126774
0,PPI-GAT + nnPU,50,25242,1184,4,0.08,0.0033783783783783786,1.7055405405405406,2.345297520006339,0.046905950400126774
0,PPI-GAT + nnPU,100,25242,1184,8,0.08,0.006756756756756757,1.7055405405405406,4.690595040012678,0.046905950400126774
0,PPI-GAT + nnPU,200,25242,1184,18,0.09,0.015202702702702704,1.918733108108108,9.381190080025355,0.046905950400126774
0,PPI-GAT + nnPU,500,25242,1184,65,0.13,0.05489864864864865,2.7715033783783785,23.45297520006339,0.046905950400126774
0,PPI-GCN + nnPU,10,25242,1184,5,0.5,0.004222972972972973,10.659628378378379,0.4690595040012677,0.046905950400126774
0,PPI-GCN + nnPU,20,25242,1184,6,0.3,0.005067567567567568,6.395777027027027,0.9381190080025354,0.046905950400126774
0,PPI-GCN + nnPU,50,25242,1184,6,0.12,0.005067567567567568,2.5583108108108106,2.345297520006339,0.046905950400126774
0,PPI-GCN + nnPU,100,25242,1184,8,0.08,0.006756756756756757,1.7055405405405406,4.690595040012678,0.046905950400126774
0,PPI-GCN + nnPU,200,25242,1184,31,0.155,0.026182432432432432,3.304484797297297,9.381190080025355,0.046905950400126774
0,PPI-GCN + nnPU,500,25242,1184,56,0.112,0.0472972972972973,2.387756756756757,23.45297520006339,0.046905950400126774
0,PPI-GraphSAGE + nnPU,10,25242,1184,4,0.4,0.0033783783783783786,8.527702702702703,0.4690595040012677,0.046905950400126774
0,PPI-GraphSAGE + nnPU,20,25242,1184,7,0.35,0.0059121621621621625,7.461739864864864,0.9381190080025354,0.046905950400126774
