Node_ID,Gene_Symbol,Prediction_Score_Mean,STRING_Degree,Removal_Reason
19975,RPL24,0.87430966,210,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
3508,CCL22,0.8742997,67,top-5%-STRING-degree
7613,FOXP3,0.87429273,112,top-5%-STRING-degree
3183,CALML4,0.87415904,225,top-5%-STRING-degree
5543,CXCL13,0.87284815,70,top-5%-STRING-degree
19990,RPL36,0.87274396,232,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
20162,RUNX2,0.8726015,118,top-5%-STRING-degree
3504,CCL19,0.8724101,69,top-5%-STRING-degree
5616,CYP2B6,0.87093747,70,top-5%-STRING-degree
6640,ENPP1,0.8708211,130,top-5%-STRING-degree
3310,CAV3,0.87080896,65,top-5%-STRING-degree
8434,GSTM1,0.87045205,66,top-5%-STRING-degree
6451,EGF,0.87041175,217,top-5%-STRING-degree
12621,NACA,0.87000895,83,top-5%-STRING-degree
15141,PXDN,0.86991704,66,top-5%-STRING-degree
13584,PABPC1,0.8678827,156,top-5%-STRING-degree
12825,NEDD4,0.8675278,70,top-5%-STRING-degree
8618,HCLS1,0.86721003,89,top-5%-STRING-degree
6409,EEF1B2,0.8671564,138,top-5%-STRING-degree
23641,UBB,0.8670157,248,top-5%-STRING-degree
23596,TYROBP,0.8666458,100,top-5%-STRING-degree
7336,FCER1G,0.8664956,73,top-5%-STRING-degree
9661,ITGA8,0.8659676,72,top-5%-STRING-degree
8119,GNG2,0.86583483,181,top-5%-STRING-degree
5829,DDX58,0.86578304,129,top-5%-STRING-degree
9065,HSPA5,0.86572313,160,top-5%-STRING-degree
3627,CD36,0.8641836,105,top-5%-STRING-degree
7345,FCGR3B,0.8639332,109,top-5%-STRING-degree
5537,CX3CR1,0.86302674,89,top-5%-STRING-degree
8727,HIF1A,0.86171895,183,top-5%-STRING-degree
12510,MYD88,0.8597132,130,top-5%-STRING-degree
21211,SMAD3,0.85920143,190,top-5%-STRING-degree
14793,PRKG1,0.85779226,66,top-5%-STRING-degree
23827,UQCR11,0.85759556,86,top-5%-STRING-degree
8309,GPX2,0.85585845,75,top-5%-STRING-degree
20004,RPL7A,0.8537574,244,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
8985,HPGDS,0.8534608,71,top-5%-STRING-degree
24073,VTN,0.8529506,99,top-5%-STRING-degree
8513,GZMB,0.8515366,100,top-5%-STRING-degree
4654,CRP,0.8510585,97,top-5%-STRING-degree
5590,CYCS,0.8508543,166,top-5%-STRING-degree
3214,CANX,0.8505176,96,top-5%-STRING-degree
8891,HNRNPA1,0.84982884,136,top-5%-STRING-degree
15022,PTEN,0.8489739,230,top-5%-STRING-degree
15277,RAC2,0.8481674,131,top-5%-STRING-degree
11247,LPL,0.8476837,77,top-5%-STRING-degree
12363,MT-CYB,0.8468975,102,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
1454,ANK1,0.8465603,77,top-5%-STRING-degree
15078,PTPN6,0.8457716,81,top-5%-STRING-degree
20041,RPS21,0.8452284,230,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
24364,YAP1,0.84463465,98,top-5%-STRING-degree
