Gene_Symbol,Score
CD300LF,0.8464659
IFI44L,0.84642184
HLA-DQA2,0.84589815
KLRC2,0.845874
TMEM47,0.8455945
ULBP1,0.84557134
ACO1,0.84548175
GSTA3,0.8453437
NCR2,0.8453026
RCN3,0.84523153
MFAP5,0.845183
LCN1,0.84488714
C1QA,0.84471786
ARHGDIB,0.84464216
OGFRL1,0.8446101
ATP5C1,0.84442425
IGFBP3,0.84393513
NOTCH4,0.84392786
TPSAB1,0.84388524
CCL13,0.8438342
NLRP6,0.84364206
C19ORF43,0.84361947
SDPR,0.8435057
CCL8,0.8434377
CFHR3,0.84338313
GSTA2,0.843294
SERPINH1,0.84320533
TWIST1,0.84310895
RETN,0.84270906
TAGLN,0.84261715
VSIG4,0.8424121
C5,0.8422483
CYFIP2,0.84219015
CLEC5A,0.8421027
GATA2,0.8420733
PRSS23,0.84199584
OGN,0.84194696
GRAP2,0.84193736
DEFA4,0.84185874
PQLC3,0.84177476
RNASE6,0.8415864
ECM1,0.8415639
HERC6,0.84156275
CNPY1,0.84143794
CLDN5,0.84128076
FBN2,0.841088
ADD2,0.8410034
OLFML2B,0.84059125
HN1,0.8405477
SPARCL1,0.8403975
HRG,0.84035647
NCF1,0.8402626
GZMA,0.8402284
PRG2,0.8399023
TMEM123,0.83977956
COLEC10,0.83976
CST7,0.8397592
EMP3,0.8397485
GSTM3,0.8395604
C8A,0.8394591
PLTP,0.83914775
ADAMTS2,0.83900654
USP18,0.8390047
SAA4,0.8387375
MS4A4E,0.8387216
LAPTM4B,0.838501
VCAN,0.83843887
SLC12A8,0.83839405
EMILIN1,0.8383137
SIRPB1,0.8382944
TREML4,0.8381157
FRY,0.83803767
KIAA1462,0.8379892
CYP7A1,0.8379487
NCKAP1,0.83791465
SFT2D1,0.8375166
FAS,0.8373782
FCGR2A,0.83728504
PTGIS,0.8371603
OAS1,0.8370412
CORO1A,0.83692396
APOC2,0.8368872
CLEC4F,0.8367565
C7ORF73,0.8366949
MEG3,0.836455
LAPTM5,0.83629036
CD8B,0.8361424
TREML2,0.83608353
LILRB4,0.8360332
CPB2,0.83579224
TKTL1,0.83556426
RNASEL,0.8355457
PF4V1,0.8353235
C11ORF96,0.8351186
LINC00493,0.8349827
LILRB1,0.8348893
GPR65,0.834777
ARMS2,0.83473384
ATP5A1,0.8345046
LGMN,0.83444583
FAM167B,0.8343927
MIR3945HG,0.8343419
SDC2,0.8343169
GCK,0.83429205
HEPH,0.834233
OSCAR,0.8341732
HSH2D,0.8340478
APOL1,0.8339208
MXRA8,0.8339184
ECSCR,0.83377856
FGF16,0.833505
PLEK2,0.83344495
LST1,0.8333705
CLEC4E,0.8333503
S100A5,0.8332985
CD1B,0.8330091
FAM20A,0.83286774
NCKAP1L,0.83270967
IGFBP6,0.8325167
XCR1,0.8323638
CECR1,0.8322357
BID,0.83215964
TKTL2,0.83207595
AGMAT,0.83201945
LMOD1,0.83199054
HPCAL1,0.8319216
PRKCDBP,0.8317893
TCHH,0.831429
PTX3,0.8314167
MRC1,0.8312961
TRDV1,0.83116883
ARG1,0.8310053
LDB2,0.8309668
HLA-DOB,0.83095425
NPC1L1,0.8309177
LINC01094,0.83082855
CRIP2,0.8306695
LINC01420,0.8305192
CD1C,0.83031064
SERPINF1,0.8302177
RP11-1143G9.4,0.83007354
COL14A1,0.8300598
GLT8D2,0.8300538
OASL,0.82999915
TNXB,0.8297203
CD300A,0.82947457
SEPT2,0.82944363
DNASE2B,0.82937604
S100A8,0.82925576
EMP2,0.8290346
TMIGD3,0.8289248
LDHAL6B,0.828798
LHFP,0.82872915
SLCO2A1,0.8286358
BATF,0.82803786
EFEMP1,0.82802093
SLC25A31,0.8279432
CEACAM8,0.8277842
CES1,0.82777166
CD1D,0.8277294
RAB27B,0.8276278
HTRA3,0.8273922
EMCN,0.8273098
