Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Biological_Process_2021::positive regulation of inflammatory response (GO:0050729),0.6756241769949999,1.503398300466902,0.0,0.016209419994802646,0.9465,30/38,19.76%,S100A12;S100A8;LBP;CCL1;MGST2;HYAL2;ETS1;PLA2G3;OSM;NLRP12;GRN;NUPR1;IL16;PDCD4;CD81;LILRA5;S100A9;CREB3L3;GPSM3;DDT;NFKBIZ;WNT5A;VAMP8;SNX4;ZBP1;GPR4;NINJ1;TNIP1;MDK;NMI
prerank,GO_Biological_Process_2021::Arp2/3 complex-mediated actin nucleation (GO:0034314),0.7383975481611209,1.501967879445761,0.002007024586051179,0.016506407938976075,0.9505,14/14,26.21%,ACTR2;ACTR3;ARPC2;ARPC1B;ARPC3;ARPC5;ARPC1A;ARPC5L;ARPC4;IQGAP2;JMY;WHAMM;MAGEL2;TRIM27
prerank,GO_Biological_Process_2021::positive regulation of lymphocyte proliferation (GO:0050671),0.6905487437544358,1.5019465634667837,0.0,0.016430034720241026,0.9505,22/29,15.90%,LILRB2;CD209;HLA-DPA1;HLA-DPB1;AIF1;HLA-DMB;SASH3;NCKAP1L;CD1D;NCK2;CD46;IL23R;TIRAP;ANXA1;CD81;VAV3;NFATC2;BST1;MEF2C;IRS2;HLA-E;FCRL3
prerank,GO_Biological_Process_2021::positive regulation of T cell mediated immunity (GO:0002711),0.714154246745612,1.5017639891469161,0.0005002501250625312,0.016415846810988732,0.951,16/19,18.44%,HLA-DRA;CD1A;CD1E;CD1B;CD1C;CD1D;HLA-B;XCL1;IL12RB1;IL23R;HLA-F;CD55;STX7;HLA-E;HLA-G;ZBTB1
prerank,GO_Biological_Process_2021::blood vessel morphogenesis (GO:0048514),0.6996944128822677,1.5015099637077083,0.0005,0.016416470167228085,0.9515,23/25,28.17%,LOX;SERPINF2;TGFBR2;CYP1B1;NKX2-5;TGFBR3;SOX18;RASIP1;ID1;HAS2;HES1;GJA5;APELA;CCBE1;STRA6;SOX17;SLC1A1;NF1;HEY2;TBX1;CCM2;AGGF1;PROX1
prerank,GO_Biological_Process_2021::positive regulation of smooth muscle cell proliferation (GO:0048661),0.7209264034229217,1.499919648740198,0.0,0.016794295973996558,0.9555,17/18,26.72%,AIF1;IGFBP5;EDN1;SERPINF2;HMOX1;NR4A3;PHB;ERN1;ADAMTS1;MEF2D;ID2;MFN2;CDH13;FOXP1;RBPMS2;LDLRAP1;HES5
prerank,GO_Biological_Process_2021::regulation of sprouting angiogenesis (GO:1903670),0.7105652025047201,1.499855763083252,0.0005,0.016727695189616296,0.9555,18/20,22.42%,FGF16;CREB3L1;RHOJ;FGF18;S100A1;SMAD1;GLUL;KLF4;DLL1;CEACAM1;EPN2;BMPER;EPN1;ADAMTS9;SEMA6A;KLF2;SYNJ2BP;FUT1
prerank,GO_Biological_Process_2021::positive regulation of immune response (GO:0050778),0.6731716515433804,1.4988776204164667,0.0,0.016931677557021498,0.957,30/40,15.19%,FPR2;HLA-DRA;HLA-DMB;RSAD2;SASH3;HRG;LILRB1;CD1D;PYCARD;CD46;IL12RB1;SKAP1;GBP5;IL23R;PLA2G1B;PCK1;GRN;MYB;CD226;CD81;STX4;IFNL1;CYBA;CD177;PLSCR1;LGALS9;AKIRIN2;F2RL1;SPHK2;SH2D1B
prerank,GO_Biological_Process_2021::extracellular matrix disassembly (GO:0022617),0.6687385311825954,1.4979376270752267,0.0,0.017085734517285938,0.9585,40/43,31.21%,CTSG;TPSAB1;BMP1;ADAMTS5;NOXO1;MMP10;MMP11;CAPN1;KLK4;MMP16;FURIN;MMP19;CTSL;PRSS1;TIMP1;CTSV;CAPG;LCP1;MMP15;ADAM10;CTRB2;TIMP2;SCUBE3;CAPNS1;ADAMTS4;FLOT1;PRSS2;CAPN2;CAPNS2;KIF9;EXOC8;SH3PXD2B;ADAM8;HTRA1;KLK2;KLK7;KLK5;HPN;TLL2;ADAM15
prerank,GO_Biological_Process_2021::ERBB2 signaling pathway (GO:0038128),0.7494527624551267,1.4978608741498936,0.0030135610246107484,0.017018697370095443,0.9585,12/12,25.09%,MYOC;MATK;PTPRR;GRB7;NRG1;BTC;NRG4;PTPN12;GAB1;CPNE3;PTPN18;NRG2
prerank,GO_Biological_Process_2021::macrophage activation (GO:0042116),0.7249345156273924,1.4972458776665474,0.001002004008016032,0.017113859220583887,0.959,15/17,21.15%,FPR2;CD93;SLC11A1;AIF1;TREM2;C1QA;TLR1;DYSF;LBP;AZU1;EDN2;FER1L5;NMI;FOXP1;TMEM106A
prerank,GO_Biological_Process_2021::regulation of vascular associated smooth muscle cell proliferation (GO:1904705),0.728857762933697,1.4968554836812293,0.00100150225338007,0.01714664039812011,0.96,15/16,25.80%,ADIPOQ;EFEMP2;IGFBP5;CNN1;NR4A3;TPM1;ERN1;PDCD4;ADAMTS1;MEF2C;APLN;MEF2D;MFN2;LDLRAP1;GPER1
prerank,GO_Biological_Process_2021::regulation of lipopolysaccharide-mediated signaling pathway (GO:0031664),0.7294257243932645,1.4962371690748393,0.000501002004008016,0.017223832658917637,0.9605,13/15,18.65%,LTF;LILRA2;LY86;BMP6;CD180;CD55;TRIB1;CARD8;TRIM5;CARD16;NFKBIL1;SCIMP;SIGIRR
prerank,GO_Biological_Process_2021::cellular response to lectin (GO:1990858),0.6721207505717224,1.4962313459083738,0.0,0.01706594269124343,0.9605,29/42,19.30%,CD209;CLEC7A;CLEC4D;KLRC2;CLEC4E;CLEC6A;CLEC4C;CARD9;PAK1;CLEC10A;RELB;PSMA8;PSMB4;ICAM3;ICAM2;CLEC4A;PAK3;TAB1;PSMF1;BCL10;PSMD5;PSMD9;CARD11;PAK2;PSME2;TAB3;PSME1;FBXW11;PSME3
prerank,GO_Biological_Process_2021::stimulatory C-type lectin receptor signaling pathway (GO:0002223),0.6721207505717224,1.4962313459083738,0.0,0.01706594269124343,0.9605,29/42,19.30%,CD209;CLEC7A;CLEC4D;KLRC2;CLEC4E;CLEC6A;CLEC4C;CARD9;PAK1;CLEC10A;RELB;PSMA8;PSMB4;ICAM3;ICAM2;CLEC4A;PAK3;TAB1;PSMF1;BCL10;PSMD5;PSMD9;CARD11;PAK2;PSME2;TAB3;PSME1;FBXW11;PSME3
prerank,GO_Biological_Process_2021::positive regulation of lymphocyte activation (GO:0051251),0.7302803731212268,1.49618616762758,0.0015015015015015015,0.01699853837942935,0.9605,12/15,16.17%,CLEC7A;HLA-DPA1;HLA-DPB1;THY1;SIRPG;SIRPB1;NCKAP1L;PYCARD;SIRPA;SH3KBP1;TNIP2;TICAM1
prerank,GO_Biological_Process_2021::negative regulation of T cell activation (GO:0050868),0.6981603153745068,1.4955902668482495,0.0,0.017065749275729084,0.9615,24/24,30.26%,LILRB2;PTPN22;VSIG4;LAPTM5;LILRB4;LILRB1;NCKAP1L;ARG1;IL4I1;SPN;FGL1;PLA2G2D;PLA2G2F;IFNL1;SFTPD;CEACAM1;TNFAIP8L2;HLA-G;PAG1;TNFRSF21;VTCN1;DUSP3;LAX1;DLG5
prerank,GO_Biological_Process_2021::platelet degranulation (GO:0002576),0.6482095436741953,1.4925278934228856,0.0,0.017997009488223612,0.967,59/72,24.91%,RARRES2;ISLR;TIMP3;ECM1;HRG;RAB27B;AHSG;LHFPL2;SERPINF2;PHACTR2;SRGN;ORM1;ORM2;SERPINA1;APOH;TMSB4X;SPP2;PLEK;TIMP1;PPBP;ACTN4;CTSW;MMRN1;LAMP2;SPARC;ITIH4;F13A1;ITIH3;STXBP2;LGALS3BP;CLEC3B;FERMT3;CHID1;TPH1;SCCPDH;ANXA5;WDR1;PSAP;ACTN2;FAM3C;ABCC4;CD63;TAGLN2;QSOX1;SERPINA3;VTI1B;TF;CD109;APLP2;PCDH7;ALDOA;MANF;TEX264;LEFTY2;SYTL4;STXBP1;TMX3;PDGFA;MAGED2
prerank,GO_Biological_Process_2021::positive regulation of neuron death (GO:1901216),0.7110936113562861,1.492499644176562,0.000500751126690035,0.01791940964825803,0.967,16/19,19.92%,C1QA;TLR6;BAX;DDIT3;GRN;PICALM;NUPR1;TFAP2A;CDK5R1;PRNP;DAXX;WNT5A;NF1;SARM1;DDIT4;TFAP2B
prerank,GO_Biological_Process_2021::negative regulation of cytokine production (GO:0001818),0.6385182352206203,1.491182796824999,0.0,0.018200277061643216,0.969,94/110,28.20%,APOA2;MEFV;SLC11A1;PTPN22;TREM2;VSIG4;LAPTM5;LILRB4;LILRB1;NCKAP1L;BPI;SRGN;GHRL;TLR6;PIBF1;XCL1;LGALS7;PYCARD;ORM1;NLRP7;CMKLR1;HERC5;CIDEA;GBP1;TMSB4X;C5AR2;IL23R;IKBKE;NLRP12;TNFAIP3;DDIT3;SIRPA;LGALS9B;ANXA1;ANXA4;TRIM25;PDCD4;RNF135;C1QBP;LILRA5;IL36RN;APOD;CLEC4A;C1QTNF3;IFNL1;KLF4;BCL3;UBA7;CHID1;FOXJ1;GBA;SLAMF1;ZFP36;LGALS9C;DHX58;INHBB;LGALS9;UBE2L6;DLL1;PRNP;SFTPD;CEACAM1;F2RL1;BTN2A2;ZC3H12A;IRAK3;FFAR4;CYLD;RGCC;CD200R1;NPTN;IL37;PCBP2;SIGIRR;NLRC5;TNFRSF21;INHA;PIN1;TAX1BP1;ATP2B1;CD84;ZFPM1;RNF125;TRAF3IP1;PPP1R11;HOMER2;TRIM27;NLRC3;ITCH;TWSG1;NPLOC4;TRIB2;SSC5D;ABCD2
