Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Biological_Process_2021::regulation of megakaryocyte differentiation (GO:0045652),0.5382897852240406,1.2469210689650998,0.0065,0.0860285254295779,1.0,41/46,40.50%,MYL9;THBS1;GATA1;SCIN;PF4;RUNX1;NR4A3;EP300;SIN3A;GP1BA;RAB7B;PRMT1;THPO;EIF6;CBFB;MEF2C;NFE2;WDR5;KAT2B;KMT2E;ZFPM1;HMGB2;TESC;CNOT4;SETD1A;KMT2C;DPY30;AGO1;RBBP5;AGO3;RBM15;AGO4;CIB1;TNRC6A;TNRC6B;KMT2B;ASH2L;MOV10;TNRC6C;PITHD1;KMT2D
prerank,GO_Biological_Process_2021::regulation of fatty acid biosynthetic process (GO:0042304),0.5736080210099294,1.246769551092897,0.0425212606303151,0.0861233827985201,1.0,16/22,24.74%,ADIPOQ;APOA5;APOC2;APOA1;ACADL;APOC1;SLC45A3;BRCA1;PRKAG2;EIF6;TRIB3;MLXIPL;CEACAM1;ADIPOR1;ACADVL;ERLIN1
prerank,GO_Biological_Process_2021::glycolipid metabolic process (GO:0006664),0.5367050013792979,1.2467030094904183,0.0085,0.0861317080312985,1.0,39/48,34.30%,GLB1;B3GALNT1;HEXB;NAGA;HEXA;GM2A;B4GALNT1;GLA;SUMF1;CTSA;ENPP7;GBGT1;ASAH1;NEU4;SMPD3;GBA;FUCA1;SCCPDH;PSAP;ARSA;NEU1;ESYT1;ST6GALNAC6;CERK;ESYT3;GALC;FUT2;ESYT2;ST3GAL2;NEU3;SMPD1;GBA2;UGT8;B3GNT5;SUMF2;PGAP1;SMPD2;SMPD4;PGAP3
prerank,GO_Biological_Process_2021::fat-soluble vitamin metabolic process (GO:0006775),0.5725542816897097,1.2465621374296996,0.045045045045045,0.0862092354635084,1.0,20/21,40.35%,GC;CYP1A1;LGMN;CUBN;CYP11A1;LRP2;CYP27B1;ALDH1A2;LRAT;VKORC1;CBR1;RBP1;CYP24A1;PIAS4;TTPA;VKORC1L1;RLBP1;UBIAD1;RBP2;CYP4F12
prerank,GO_Biological_Process_2021::translational elongation (GO:0006414),0.5182074629984078,1.2464255128017754,0.0,0.0862800016968123,1.0,97/99,47.04%,EEF1A1;EEF1B2;EEF1D;TUFM;MRPL20;MRPL41;OXA1L;MRPL33;MRPL23;GADD45GIP1;MRPS15;MRPS18C;GTPBP1;MRPL51;MRPS6;MRPL34;MRPL52;MRPS21;MRPL57;AURKAIP1;MRPL54;MRPL27;MRPL43;MRPL11;MRPL18;MRPL14;MRPS16;MRPS24;MRPL55;CHCHD1;MRPS7;DAP3;MRPL47;MRPL40;MRPL21;MRPL17;MRPL32;MRPS34;MRPS12;MRPL12;NEMF;MRPL13;MRPS36;MRPL16;MRPL28;MRPS18B;MRPL22;ZNF598;MRPL4;MRPS33;MRPS31;MRPL42;MRPL38;MRPS26;MRPS11;MRPS14;MRPL9;MRPL36;MRPL3;MRPS23;MRPL15;MRPS10;MRPL37;MRPS35;MRPS5;MRPL50;MRPS25;EEF2K;MRPL53;MRPS28;MRPS22;MRPS27;MRPL24;MRPS30;MRPL1;EEF1G;MRPL10;MRPL19;MRPS18A;MRPL44;MRPL49;MRPL2;PTCD3;MRPL39;MRPL46;MRPL45;MRPL35;GFM1;MRPL48;GFM2;GTPBP2;MRPS2;MRPS17;MRPS9;ERAL1;TSFM;MRPL30
prerank,GO_Biological_Process_2021::sphingosine metabolic process (GO:0006670),0.5781022505095885,1.2464066339232025,0.0455455455455455,0.0862431855699233,1.0,19/19,42.24%,SPHK1;ASAH2;ASAH1;GBA;SGPP2;ASAH2B;ACER1;PLPP3;ACER2;SPHK2;NAAA;SPTLC3;PLPP2;SGPP1;ACER3;PLPP1;SPTLC2;SPTLC1;ABCA2
prerank,GO_Biological_Process_2021::rRNA processing (GO:0006364),0.5112086243684335,1.2464065307750951,0.0,0.0861886702819524,1.0,139/140,48.82%,RPS14;RPL13;RPL27A;RPL30;RPL31;RPL18A;RPS17;RPL39;RPL18;RPL41;RPL9;RPL26;RPL29;RPL21;RPL23A;RPL34;RPL35A;RPL27;RPL35;RPL23;RPL15;RPLP2;RPL14;RPL7;UBA52;RPL10A;RPL28;RPL24;RPL36;RPL7A;RPS9;RPL37A;SNU13;FBL;NSA2;RSL1D1;PWP2;DKC1;EIF6;LYAR;SENP3;SBDS;NHP2;LSM6;IMP3;XRN2;DDX47;C1D;RRP7A;NOP56;PIH1D1;DDX27;IMP4;NOB1;KRR1;EXOSC6;RPF1;NOP58;EXOSC8;DIS3;EXOSC1;EXOSC7;ESF1;WDR74;SART1;POP5;DCAF13;TFB1M;MPHOSPH6;UTP18;RIOK3;WDR46;PIH1D2;EXOSC4;POP4;EXOSC3;NOP2;WDR36;EMG1;UTP3;EXOSC5;DDX54;NOL11;MRPL1;UTP20;EBNA1BP2;EXOSC2;NOL8;SRFBP1;MPHOSPH10;UTP15;UTP6;RRP1B;WDR43;THUMPD1;RRP15;MRTO4;RRP12;DDX49;TSR3;PES1;NOLC1;WDR18;RCL1;DDX10;EXOSC9;NOL6;RIOK1;PELP1;DDX52;UTP14A;EXOSC10;BMS1;FCF1;RIOK2;RRP1;ERI1;TBL3;NAT10;LAS1L;NOL9;DHX37;NVL;NOC4L;HEATR1;MDN1;WDR3;BOP1;WDR12;UTP4;NOP14;PDCD11;RRP36;BYSL;WDR55;RRP9;MAK16;TEX10;WDR75
prerank,GO_Biological_Process_2021::TOR signaling (GO:0031929),0.5816022740237624,1.2463379427667456,0.0500751126690035,0.0861991447879389,1.0,17/18,38.10%,GATA3;PINK1;EIF4EBP1;RICTOR;CARD11;NPRL3;MAPKAP1;FLCN;EIF4EBP2;SYAP1;PRR5;FNIP1;SMG1;LARP1;CCDC88A;RHEBL1;TIPRL
prerank,GO_Biological_Process_2021::protein K48-linked ubiquitination (GO:0070936),0.5335364122722044,1.24618113732543,0.0045,0.0862906268624359,1.0,50/54,43.14%,UBE2D1;IFI27;UBE2D2;TNFAIP3;CUL3;SKP2;NEDD4L;UBE2E1;UBE3A;UBE2A;UBE2E2;UBE2K;UBE2Q2;UBE2D3;UBE2C;RNF5;DTX3L;SYVN1;PELI1;UBE2E3;BFAR;UBE2R2;KLHL3;UBE2G2;RNF187;RNF152;UBE2H;AMFR;UBE2B;ITCH;KBTBD6;FBXO38;UBE2T;RNF4;UBR5;CDC34;TTC3;UBE2D4;UBE2G1;RNF126;RFFL;TRIM32;TOPORS;RNF8;KBTBD7;RNF216;ARIH2;RNF146;HACE1;RNF115
prerank,GO_Biological_Process_2021::negative regulation of RNA metabolic process (GO:0051253),0.5980646842275144,1.246083583651087,0.0637230306071249,0.0863310711664162,1.0,11/14,29.92%,RPS13;FCN3;NCOR1;NCOR2;PTBP1;ZC3H12A;TMBIM6;PTBP3;KAT2B;NUDT16;PTBP2
prerank,GO_Biological_Process_2021::negative regulation of Ras protein signal transduction (GO:0046580),0.5542891179852757,1.245940120903124,0.0185,0.086410659427212,1.0,25/31,33.56%,ITGA3;MYOC;FBP1;RASIP1;CUL3;RASAL3;SPRY1;ABL2;HEG1;DLC1;SPRY4;MAPKAP1;MFN2;KCTD10;ARHGAP35;FLCN;KANK1;ARHGAP44;TNFAIP1;DAB2IP;KCTD13;STMN1;ARHGAP24;STAMBP;SPRY2
prerank,GO_Biological_Process_2021::respiratory tube development (GO:0030323),0.5613132591567592,1.2458879495752455,0.03,0.0864070685278377,1.0,19/26,30.49%,ITGA3;CHI3L1;FGF7;BMP4;FGF9;CEBPA;PDPN;RBP4;TCF21;GLI2;STRA6;LOXL3;HECA;SHH;FOXF1;BAG6;NKX2-1;PROX1;PCSK5
prerank,GO_Biological_Process_2021::regulation of steroid metabolic process (GO:0019218),0.5823011837472664,1.245841692590809,0.0525525525525525,0.0863905388495887,1.0,12/18,18.69%,GNB3;UGT1A1;STAR;ACADL;STUB1;APOE;NR5A1;RORA;ASAH1;PANK2;ABCG1;LAMTOR1
prerank,GO_Biological_Process_2021::cardiac muscle tissue morphogenesis (GO:0055008),0.5911099615782269,1.245815150039548,0.0581453634085213,0.0863614103122251,1.0,13/17,25.60%,MYL3;ACTC1;BMP2;TTN;TPM1;MYLK2;NKX2-5;TGFBR3;NOG;TCAP;MYBPC3;ANKRD1;ZFPM1
