Compared_Method,AUPRC_Delta_GNN_Minus_Comparator_Median,CI_Lower,CI_Upper,Two_Sided_Bootstrap_P,Matched_Positive_Fraction,Comparability_Note
Network-degree logistic,0.021785094712214015,0.0057628246108185205,0.03801196816846913,0.009995002498750625,0.5,This paired delta is valid because both methods were evaluated on the same matched bootstrap samples.
RWR (STRING graph),-0.09196764947571279,-0.1098951162614582,-0.07377917668812256,0.0009995002498750624,0.5,This paired delta is valid because both methods were evaluated on the same matched bootstrap samples.
