Edge_Dropout_Fraction,Replicate,Spearman_Rho_All_Unlabeled,Median_Absolute_Score_Change,Top100_Jaccard,Top500_Jaccard,Model_Seed,Inference_Only
0.05,1,0.9968363255691856,0.0005067884922027588,0.9801980198019802,0.9267822736030829,42,True
0.05,2,0.9966403762084112,0.0005079805850982666,0.941747572815534,0.9157088122605364,42,True
0.05,3,0.9964403495931549,0.0005005374550819397,0.9047619047619048,0.9193857965451055,42,True
0.05,4,0.9960464658057301,0.0005056317895650864,0.941747572815534,0.9305019305019305,42,True
0.05,5,0.996124988769863,0.0004963874816894531,0.941747572815534,0.9342359767891683,42,True
0.05,6,0.9965138566132563,0.000506894662976265,0.9230769230769231,0.9342359767891683,42,True
0.05,7,0.9964989855638832,0.0004905685782432556,0.9607843137254902,0.9157088122605364,42,True
0.05,8,0.9969372272750473,0.0005142539739608765,0.9230769230769231,0.941747572815534,42,True
0.05,9,0.9966509690253256,0.0004895888268947601,0.9607843137254902,0.9305019305019305,42,True
0.05,10,0.9964951963060018,0.0005005169659852982,0.9607843137254902,0.9011406844106464,42,True
0.1,1,0.9925734395744356,0.0010234881192445755,0.9047619047619048,0.8832391713747646,42,True
0.1,2,0.9921123706824444,0.0010317210108041763,0.9230769230769231,0.8761726078799249,42,True
0.1,3,0.9934013142899416,0.0009718090295791626,0.941747572815534,0.8903591682419659,42,True
0.1,4,0.9929424484139393,0.0010717883706092834,0.9230769230769231,0.8975332068311196,42,True
0.1,5,0.9927039421504594,0.0010210024192929268,0.8867924528301887,0.8656716417910447,42,True
0.1,6,0.9931094049698186,0.0009913807734847069,0.941747572815534,0.8903591682419659,42,True
0.1,7,0.9924915795611993,0.0010246336460113525,0.9230769230769231,0.8939393939393939,42,True
0.1,8,0.9927562427649225,0.001024492084980011,0.8691588785046729,0.8796992481203008,42,True
0.1,9,0.993060762996267,0.0010172417387366295,0.9047619047619048,0.8867924528301887,42,True
0.1,10,0.9925437025029525,0.001046719029545784,0.8691588785046729,0.8832391713747646,42,True
0.2,1,0.9850484681255192,0.0020131245255470276,0.8867924528301887,0.8115942028985508,42,True
0.2,2,0.9840005207407596,0.0019636452198028564,0.8691588785046729,0.8248175182481752,42,True
0.2,3,0.9851381033788614,0.0019676610827445984,0.8518518518518519,0.8382352941176471,42,True
0.2,4,0.9847645635526983,0.0019736960530281067,0.8691588785046729,0.8115942028985508,42,True
0.2,5,0.9855598700085662,0.00196099653840065,0.8348623853211009,0.8050541516245487,42,True
0.2,6,0.9850879071900068,0.002045620232820511,0.8018018018018018,0.8115942028985508,42,True
0.2,7,0.9850346846002509,0.001958109438419342,0.8867924528301887,0.8181818181818182,42,True
0.2,8,0.9845519214240239,0.0019704699516296387,0.9047619047619048,0.8281535648994516,42,True
0.2,9,0.9845043480373921,0.001957237720489502,0.8518518518518519,0.8281535648994516,42,True
0.2,10,0.9856018498630875,0.0019089281558990479,0.8867924528301887,0.8450184501845018,42,True
