Bootstrap_Replicate,ctMV_GCN_AUPRC,Degree_Logistic_AUPRC,ctMV_GCN_minus_Degree
1,0.6607869931947571,0.6189973804822215,0.04178961271253556
2,0.6515273167107746,0.6146835293591295,0.03684378735164506
3,0.6547768687216277,0.6224382211126268,0.03233864760900085
4,0.635054061570108,0.6044262627161084,0.030627798853999577
5,0.6468251901033025,0.6191356591837635,0.027689530919539074
6,0.6445028392969957,0.6317067843819767,0.012796054915019006
7,0.6552476789905767,0.6345755717634849,0.020672107227091785
8,0.6213772372651852,0.6116360160181843,0.009741221247000942
9,0.6364203193059241,0.6187378237461517,0.017682495559772415
10,0.6443422351233085,0.6319777152204546,0.01236451990285381
11,0.6475471386084525,0.6128455688444812,0.03470156976397132
12,0.6513664143337144,0.6146128394203271,0.03675357491338738
13,0.6719762326250532,0.6397822913920598,0.03219394123299346
14,0.6180213545753918,0.6122171641268356,0.005804190448556179
15,0.6391530790409005,0.6161999367668943,0.022953142274006133
16,0.6541247163160674,0.6168649507512988,0.03725976556476862
17,0.6350571188194608,0.6282116054020205,0.00684551341744033
18,0.6422694791682727,0.6342135846082863,0.008055894559986454
19,0.6517636441051016,0.6318131770225385,0.019950467082563095
20,0.6198583971196724,0.6274241017498018,-0.0075657046301293995
21,0.6598790378737517,0.6488827331456598,0.010996304728091877
22,0.6385150667352472,0.6255822080123891,0.012932858722858098
23,0.6457729078409158,0.6194509742586575,0.026321933582258317
24,0.6427713839511955,0.6214530876473104,0.021318296303885043
25,0.6487887899795751,0.6304506330097298,0.01833815696984531
26,0.64716828348251,0.6334906808247446,0.013677602657765409
27,0.6629340257211548,0.6431361780295028,0.019797847691651937
28,0.6436926746379849,0.6338325198300317,0.009860154807953103
29,0.6546940307898684,0.6137961279462516,0.04089790284361683
30,0.6679150212128727,0.6395346385520853,0.028380382660787462
31,0.640193240893438,0.635323450298169,0.004869790595269041
32,0.6456250077552207,0.6069921709432398,0.03863283681198093
33,0.6387383262882294,0.6400051200311337,-0.001266793742904393
34,0.6337526135363992,0.6262844912784545,0.007468122257944687
35,0.6608773570996671,0.6151493003189259,0.04572805678074121
36,0.6518062829701504,0.612995694583463,0.038810588386687384
37,0.6589929013839537,0.6237574565668745,0.03523544481707919
38,0.6361508954141334,0.6270296392296769,0.009121256184456472
39,0.6538266269937157,0.6272954854423123,0.02653114155140346
40,0.6565875636362616,0.6388507337982864,0.0177368298379752
41,0.6384396165919938,0.6255049229149914,0.012934693677002396
42,0.6485062625247341,0.6062826696648972,0.0422235928598369
43,0.6525045226406575,0.6482111055055041,0.00429341713515341
44,0.6470640005535172,0.6217918550338535,0.025272145519663725
45,0.6558663286832418,0.6285701201665007,0.027296208516741083
46,0.6448515828085833,0.6317052659710516,0.013146316837531757
